URI,LocalName,Renamed
<http://foodie-cloud.com/model/foodie#Alert>,Alert,
<http://www.opengis.net/ont/geosparql#Geometry>,Geometry,
<http://xmlns.com/foaf/0.1/Person>,Person,
<http://purl.oclc.org/NET/ssnx/cf/cf-feature#Surface>,Surface,cf.Surface
<http://purl.oclc.org/NET/ssnx/qu/dim#Temperature>,Temperature,
<http://www.w3.org/ns/sosa/FeatureOfInterest>,FeatureOfInterest,
<https://uri.fiware.org/ns/data-models#Animal>,Animal,AnimalEntity
<http://purl.org/linked-data/cube#Observation>,Observation,qb.Observation
<http://www.opengis.net/ont/sf#Point>,Point,
<http://www.w3.org/ns/ssn/Property>,Property,
http://qudt.org/schema/qudt/QuantityKind,QuantityKind,qudt.QuantityKind
<https://uri.fiware.org/ns/data-models#Alert>,Alert,AlertEntity
<http://www.opengis.net/ont/sf#Geometry>,Geometry,sf.Geometry
<https://schema.org/Person>,Person,schema.Person
<http://www.opengis.net/ont/sf#Surface>,Surface,
<https://w3id.org/saref#Temperature>,Temperature,saref.Temperature
<https://w3id.org/saref#FeatureOfInterest>,FeatureOfInterest,saref.FeatureOfInterest
<https://w3id.org/def/saref4agri#Animal>,Animal,
<http://www.w3.org/ns/sosa/Observation>,Observation,
<http://www.w3.org/2003/01/geo/wgs84_pos#Point>,Point,wgs84.Point
<https://w3id.org/saref#Property>,Property,saref.Property
<http://www.w3.org/ns/ssn/Property>,Property,
<https://w3id.org/saref#Property>,Property,saref.Property
http://purl.oclc.org/NET/ssnx/qu/qu#QuantityKind,QuantityKind,
<http://foodie-cloud.com/model/foodie#description>,description,
<http://portele.de/ont/inspire/baseInspire#validFrom>,validFrom,
<http://portele.de/ont/inspire/baseInspire#validTo>,validTo,
<http://foodie-cloud.com/model/foodie#species>,species,
<http://foodie-cloud.com/model/foodie#status>,status,
<http://foodie-cloud.com/model/foodie#quantity>,quantity,
<http://purl.oclc.org/NET/ssnx/qu/quantity#temperature>,temperature,
<http://purl.org/dc/terms/description>,description,dct.description
<https://schema.org/name>,name,schema.name
<http://xmlns.com/foaf/0.1/name>,name,foaf.name
<https://uri.fiware.org/ns/data-models#description>,description,descriptionEntity
<https://uri.fiware.org/ns/data-models#validFrom>,validFrom,alertValidFrom
<https://uri.fiware.org/ns/data-models#validTo>,validTo,alertValidTo
<https://uri.fiware.org/ns/data-models#species>,species,animalSpecies
<https://uri.fiware.org/ns/data-models#status>,status,operationStatus
<https://uri.fiware.org/ns/data-models#quantity>,quantity,totalQuantity
<https://uri.fiware.org/ns/data-models#temperature>,temperature,
<https://uri.fiware.org/ns/data-models#description>,description,descriptionEntity
<https://uri.fiware.org/ns/data-models#name>,name,
<https://uri.fiware.org/ns/data-models#name>,name,
<http://inspire.ec.europa.eu/schemas/af/3.0#contains>,contains,containsSite
<http://www.w3.org/2003/01/geo/wgs84_pos#location>,location,
<http://www.w3.org/ns/ssn/hasProperty>,hasProperty,
<http://www.w3.org/ns/sosa/hasFeatureOfInterest>,hasFeatureOfInterest,
<http://www.w3.org/ns/sosa/isFeatureOfInterestOf>,isFeatureOfInterestOf,
<http://www.w3.org/ns/ssn/isPropertyOf>,isPropertyOf,
<https://w3id.org/def/saref4agri#contains>,contains,
<https://uri.fiware.org/ns/data-models#location>,location,locationGeoJson
<https://w3id.org/saref#hasProperty>,hasProperty,saref.hasProperty
<https://w3id.org/saref#hasFeatureOfInterest>,hasFeatureOfInterest,saref.hasFeatureOfInterest
<https://w3id.org/saref#isFeatureOfInterestOf>,isFeatureOfInterestOf,saref.isFeatureOfInterestOf
<https://w3id.org/saref#isPropertyOf>,isPropertyOf,saref.isPropertyOf
